Id,Family,Genus,Subgenus,Species,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
61,Apidae,Amegilla,(Zonamegilla),asserta,0.438031775,0.073026703,0.289187977,0.034435141,0.25778953,-0.091354071,0.155683148,-0.163217532,-0.150778549,-0.18272064,-0.107692712,-0.135860174,-0.126841399,-0.051179804,-0.439006628,-0.037999389,-0.40451725,0.034780862,-0.109756806,0.099134073,-0.064386783,0.139736858,0.084791932,0.142820428,0.137369794,0.101129712,0.040125971,0.037267833
62,Apidae,Amegilla,(Zonamegilla),asserta,0.425821123,0.065308131,0.293858166,0.038176555,0.266641235,-0.083773644,0.158213507,-0.169972894,-0.155778756,-0.177891087,-0.111412705,-0.128848548,-0.12650183,-0.046345934,-0.430668258,-0.044163455,-0.41499361,0.033182985,-0.108349384,0.097003964,-0.057403473,0.131388837,0.090952804,0.140410645,0.136705413,0.103373427,0.032915766,0.042151018
63,Apidae,Amegilla,(Zonamegilla),asserta,0.434662675,0.071595913,0.291860841,0.035654395,0.271422065,-0.094890913,0.15114195,-0.166594582,-0.148523882,-0.179348495,-0.111980714,-0.134315236,-0.122834215,-0.050311164,-0.432680646,-0.036093843,-0.407793936,0.033055287,-0.110833055,0.094243833,-0.057553309,0.136656735,0.084403271,0.145295658,0.132227656,0.102485575,0.0264813,0.042566838
64,Apidae,Amegilla,(Zonamegilla),asserta,0.43213277,0.055204318,0.284443972,0.033683871,0.266000004,-0.091584739,0.180014613,-0.165727394,-0.147523908,-0.17734892,-0.09995484,-0.126272853,-0.117983378,-0.043792509,-0.438297878,-0.041119561,-0.415555466,0.037034111,-0.116283671,0.101292936,-0.066638879,0.141235692,0.075322151,0.142623649,0.131150793,0.094717267,0.033173717,0.040054133
65,Apidae,Amegilla,(Zonamegilla),asserta,0.427204477,0.062727725,0.279731226,0.03440278,0.266165071,-0.094916065,0.176082147,-0.163039948,-0.138981167,-0.175655244,-0.107438027,-0.120512499,-0.122911588,-0.041959991,-0.433216563,-0.042195256,-0.431803931,0.039476449,-0.108340397,0.097239128,-0.058293921,0.135989031,0.084788255,0.134298556,0.132672905,0.094128688,0.034341515,0.040016645
66,Apidae,Amegilla,(Zonamegilla),asserta,0.440398369,0.077906952,0.29836628,0.038003779,0.262484761,-0.083975516,0.143567123,-0.157475188,-0.148769035,-0.172394309,-0.124573476,-0.124281406,-0.144076189,-0.039218581,-0.431997717,-0.041383338,-0.4038093,0.02452444,-0.10915382,0.086944132,-0.055687888,0.132227437,0.088221849,0.135132836,0.149599391,0.088292448,0.035429651,0.035696314
67,Apidae,Amegilla,(Zonamegilla),asserta,0.445838713,0.073697157,0.289788723,0.036576559,0.252184746,-0.080375056,0.151694781,-0.163090593,-0.157447091,-0.180117874,-0.116164789,-0.128320825,-0.129078171,-0.047559789,-0.434517189,-0.037691672,-0.408631556,0.021706169,-0.108030306,0.092049427,-0.044165242,0.136380647,0.089906864,0.139424659,0.1336283,0.098692017,0.034992215,0.038629176
68,Apidae,Amegilla,(Zonamegilla),asserta,0.434027184,0.059012255,0.302293466,0.026980183,0.265553463,-0.091281351,0.161072914,-0.153352671,-0.138640976,-0.174610663,-0.11006537,-0.122370315,-0.124190197,-0.037798335,-0.434167025,-0.03466871,-0.41801448,0.022817697,-0.121025086,0.096333632,-0.068881806,0.134052525,0.087821496,0.136248136,0.130786448,0.096527917,0.033429969,0.042109701
69,Apidae,Amegilla,(Zonamegilla),asserta,0.443621202,0.060194468,0.280351026,0.039778753,0.255326291,-0.09502983,0.162342317,-0.169130415,-0.144132936,-0.179042337,-0.102582907,-0.1260914,-0.130810599,-0.041915241,-0.42887246,-0.04666476,-0.418708176,0.025414577,-0.112825889,0.104578843,-0.058619866,0.145386491,0.090184282,0.143783449,0.130975033,0.098935965,0.033752681,0.039801438
70,Apidae,Amegilla,(Zonamegilla),asserta,0.434902061,0.066688685,0.290817903,0.0280028,0.266656199,-0.086290382,0.170151833,-0.159769492,-0.147154832,-0.172974743,-0.109096472,-0.122769766,-0.127577447,-0.041180403,-0.435872357,-0.040815686,-0.417587797,0.037129893,-0.113864278,0.096334451,-0.063685657,0.132251196,0.081639368,0.135569044,0.132014153,0.091006517,0.038657324,0.036817888
71,Apidae,Amegilla,(Zonamegilla),asserta,0.449477817,0.063878848,0.283167076,0.035036305,0.264218587,-0.090310203,0.164435568,-0.176782668,-0.155067968,-0.187865586,-0.110248922,-0.130197969,-0.129809829,-0.04086729,-0.416749319,-0.050799728,-0.40612425,0.037341742,-0.11212697,0.102889988,-0.063203962,0.143067355,0.081205497,0.147554122,0.127538979,0.101411869,0.023287696,0.045643215
72,Apidae,Amegilla,(Zonamegilla),asserta,0.427584351,0.066664218,0.290257751,0.030724107,0.263665586,-0.095530113,0.168031407,-0.165591193,-0.143238553,-0.183724453,-0.107403415,-0.121716679,-0.125205745,-0.046257195,-0.43599385,-0.048376106,-0.412683621,0.039669389,-0.116128849,0.103905569,-0.066933043,0.145659093,0.087677126,0.137771862,0.132291834,0.095695595,0.038079021,0.041105907
73,Apidae,Amegilla,(Zonamegilla),asserta,0.436618881,0.066373292,0.300267043,0.034644803,0.253445989,-0.089168708,0.153219135,-0.159938151,-0.143683549,-0.180932822,-0.1035322,-0.12819913,-0.132572265,-0.04341817,-0.430373536,-0.037698405,-0.415750735,0.02613817,-0.122873349,0.095916729,-0.055410951,0.141263528,0.086484459,0.144049454,0.140781508,0.092863379,0.033379569,0.038106032
74,Apidae,Amegilla,(Zonamegilla),asserta,0.43172325,0.068075782,0.299815659,0.039667354,0.26537015,-0.089895964,0.142399038,-0.159324542,-0.159576589,-0.181925739,-0.111610676,-0.13138266,-0.130016631,-0.046393312,-0.429292146,-0.050234237,-0.407495009,0.031362408,-0.107616242,0.099265293,-0.059330379,0.135400654,0.092456929,0.142277682,0.132891392,0.103904952,0.040281254,0.03920233
75,Apidae,Amegilla,(Zonamegilla),asserta,0.436541461,0.063350247,0.299284392,0.032236293,0.26395577,-0.077569619,0.169003894,-0.148761685,-0.150517684,-0.16816577,-0.109245062,-0.116736186,-0.133617681,-0.038342537,-0.43245799,-0.036438905,-0.424673428,0.035448645,-0.111179803,0.082623079,-0.057813772,0.123380054,0.088350349,0.126059712,0.13136296,0.094308656,0.031006594,0.028608015
76,Apidae,Amegilla,(Asaropoda_1),bombiformis,0.430791472,0.061443442,0.299102044,0.031649315,0.259986283,-0.07642377,0.164272697,-0.165781757,-0.154428119,-0.181997849,-0.106696147,-0.118690698,-0.114799247,-0.042968075,-0.438523824,-0.035289855,-0.42049145,0.031345937,-0.114733718,0.092869399,-0.057778236,0.13279074,0.072682425,0.133139522,0.128037319,0.098293985,0.052578501,0.039619665
77,Apidae,Amegilla,(Asaropoda_1),bombiformis,0.432483422,0.05250659,0.310682097,0.032910282,0.268074392,-0.067780537,0.164209032,-0.152047802,-0.150268024,-0.169025146,-0.109825011,-0.110056226,-0.120582042,-0.031443222,-0.438200425,-0.031684283,-0.424110445,0.029935026,-0.117565909,0.082074403,-0.062051044,0.116484001,0.069971537,0.124937733,0.128737209,0.095518489,0.048445211,0.027670692
78,Apidae,Amegilla,(Asaropoda_1),bombiformis,0.4324363,0.057339582,0.302858911,0.03267649,0.261789582,-0.069570929,0.164361808,-0.157382496,-0.150279041,-0.178127439,-0.111951957,-0.117291558,-0.119912848,-0.0350705,-0.442179413,-0.035948377,-0.417848974,0.033057449,-0.117384167,0.08898823,-0.061333763,0.123910743,0.074394952,0.128006761,0.133330309,0.096726996,0.0517183,0.03268505
79,Apidae,Amegilla,(Asaropoda_1),bombiformis,0.433878303,0.058138698,0.299879347,0.034041146,0.261028339,-0.076696909,0.156533029,-0.162913072,-0.150217755,-0.178678656,-0.108050735,-0.119935352,-0.117558105,-0.03779331,-0.437610923,-0.039025944,-0.422646929,0.02973638,-0.113856593,0.09035304,-0.055622876,0.127665317,0.076201612,0.133066427,0.131060021,0.098708038,0.046983265,0.043334198
80,Apidae,Amegilla,(Asaropoda_1),bombiformis,0.428898189,0.060681704,0.302067344,0.029663811,0.262619354,-0.075325652,0.16856736,-0.15303155,-0.148111464,-0.176816429,-0.104856492,-0.119348428,-0.121142841,-0.039972293,-0.439245548,-0.030240748,-0.425160114,0.035723358,-0.121812923,0.092717463,-0.052794895,0.123663444,0.063966234,0.129815907,0.133625211,0.094231326,0.053380584,0.028238088
81,Apidae,Amegilla,(Asaropoda_1),bombiformis,0.434281598,0.055711663,0.307297847,0.026893344,0.265823287,-0.0666585,0.166372408,-0.15253764,-0.148698689,-0.174158844,-0.105274857,-0.115755244,-0.121778422,-0.03319592,-0.440121024,-0.033222579,-0.421276587,0.038335203,-0.118522049,0.085715609,-0.06947251,0.117470467,0.076949539,0.122998449,0.128233204,0.095770978,0.046186255,0.032633015
82,Apidae,Amegilla,(Asaropoda_1),bombiformis,0.433718196,0.056993421,0.297336646,0.033475994,0.260025083,-0.083956794,0.167535608,-0.167265317,-0.150008429,-0.180097866,-0.104204597,-0.117420162,-0.120623014,-0.042186815,-0.442105654,-0.037753974,-0.41272729,0.032521401,-0.116146073,0.095125486,-0.066325597,0.130140824,0.072965925,0.136282194,0.125865243,0.103993857,0.054693954,0.040147753
83,Apidae,Amegilla,(Asaropoda_1),bombiformis,0.427607932,0.049926122,0.297852562,0.029201107,0.252470547,-0.074578601,0.170461756,-0.158924104,-0.148148751,-0.182061704,-0.104706796,-0.123339385,-0.114256302,-0.039862105,-0.445437815,-0.042924896,-0.422285803,0.030956775,-0.110102461,0.098928946,-0.057596974,0.131726506,0.073140911,0.135208046,0.127993677,0.099512881,0.053007516,0.046230411
84,Apidae,Amegilla,(Asaropoda_1),bombiformis,0.430599872,0.05858868,0.292991421,0.033466115,0.257772554,-0.07636061,0.16699846,-0.161714019,-0.153755762,-0.183855341,-0.106899871,-0.117329275,-0.118334112,-0.041306055,-0.435907935,-0.038223908,-0.426022638,0.031332525,-0.115348271,0.096351035,-0.057005388,0.131323566,0.075155272,0.135183943,0.131685453,0.093387701,0.058070945,0.039155644
85,Apidae,Amegilla,(Asaropoda_1),bombiformis,0.430448519,0.057989676,0.305842702,0.030549045,0.262282306,-0.073586769,0.165040771,-0.161410902,-0.151731026,-0.174486189,-0.109261195,-0.113541846,-0.12135076,-0.040068941,-0.436850536,-0.03996619,-0.421705767,0.034745793,-0.115120602,0.087443831,-0.060905554,0.12613891,0.078636908,0.130864347,0.12460957,0.099706749,0.050064664,0.035622486
